id,periode,pecahan,value
jkt,1,50k,37.7393000538707
jkt,2,50k,-89.1908672465972
jkt,3,50k,-104.489702614994
jkt,4,50k,-67.5167790272973
jkt,5,50k,-144.303816036465
bdg,1,50k,-60.6968868666028
bdg,2,50k,-125.691078014121
bdg,3,50k,-85.9968266390042
bdg,4,50k,8.52612413080748
bdg,5,50k,-143.724451379764
sby,1,50k,-185.620373016339
sby,2,50k,-201.782777634403
sby,3,50k,142.539785527991
sby,4,50k,80.989683018386
sby,5,50k,-277.323089059252
yyk,1,50k,-83.8595572458767
yyk,2,50k,16.6655390379145
yyk,3,50k,278.353848251017
yyk,4,50k,-48.2210916614944
yyk,5,50k,-105.422329938867
cbn,1,50k,-87.7552894319637
cbn,2,50k,126.216356474132
cbn,3,50k,-40.5986510564889
cbn,4,50k,-114.173064205165
cbn,5,50k,-53.3630783987365
jkt,1,20k,387.750940103904
jkt,2,20k,148.289586444584
jkt,3,20k,2.26347789823862
jkt,4,20k,380.732823716975
jkt,5,20k,120.510934696265
bdg,1,20k,-35.9278251213246
bdg,2,20k,-235.935473221966
bdg,3,20k,28.3340902202417
bdg,4,20k,-47.9329411697744
bdg,5,20k,-120.734086772993
sby,1,20k,-62.1704187836484
sby,2,20k,-153.505971804397
sby,3,20k,-334.475103882689
sby,4,20k,327.89706025937
sby,5,20k,289.972455359328
yyk,1,20k,30.2700644166701
yyk,2,20k,193.295816034465
yyk,3,20k,-146.908004088821
yyk,4,20k,51.8135153306637
yyk,5,20k,-82.9222251808623
cbn,1,20k,126.697453326593
cbn,2,20k,322.588359191956
cbn,3,20k,-257.565687221994
cbn,4,20k,26.760621653488
cbn,5,20k,-6.72686379346514
