id,periode,pecahan,value
mdn,1,50k,37.73930005387075
mdn,2,50k,-89.19086724659721
mdn,3,50k,-104.48970261499433
mdn,4,50k,-67.51677902729725
mdn,5,50k,-144.30381603646487
mdn,6,50k,-32.985590624166086
mdn,7,50k,85.57065288431734
mdn,8,50k,-122.30566151379357
mks,1,50k,-60.69688686660276
mks,2,50k,-125.69107801412058
mks,3,50k,-85.9968266390042
mks,4,50k,8.526124130807476
mks,5,50k,-143.72445137976362
mks,6,50k,387.48058043683733
mks,7,50k,20.491675146575634
mks,8,50k,151.19577999543566
bdg,1,50k,-185.62037301633904
bdg,2,50k,-201.7827776344033
bdg,3,50k,142.53978552799123
bdg,4,50k,80.98968301838597
bdg,5,50k,-277.323089059252
bdg,6,50k,-279.412016610455
bdg,7,50k,-455.06981933595165
bdg,8,50k,-253.04346655785295
jkt,1,50k,-83.85955724587666
jkt,2,50k,16.66553903791454
jkt,3,50k,278.35384825101653
jkt,4,50k,-48.22109166149443
jkt,5,50k,-105.42232993886687
jkt,6,50k,-32.00262303888066
jkt,7,50k,118.37204647971305
jkt,8,50k,-176.45254285811015
jap,1,50k,-87.7552894319637
jap,2,50k,126.21635647413159
jap,3,50k,-40.598651056488926
jap,4,50k,-114.17306420516455
jap,5,50k,-53.3630783987365
jap,6,50k,65.07209997384038
jap,7,50k,194.64503863465865
jap,8,50k,-51.50499763150024
bpp,1,50k,119.59204938474481
bpp,2,50k,-43.866932623566015
bpp,3,50k,116.6880033354377
bpp,4,50k,-41.12220791453691
bpp,5,50k,-206.35949233249414
bpp,6,50k,803.8698544569136
bpp,7,50k,158.0193963897642
bpp,8,50k,-309.40307262390337
smr,1,50k,93.7151108739551
smr,2,50k,-109.86912387109027
smr,3,50k,-354.3466642156528
smr,4,50k,-78.9321163320953
smr,5,50k,-44.180695743916274
smr,6,50k,-326.2746870179466
smr,7,50k,-109.11637655108196
smr,8,50k,-137.9975699752493
slo,1,50k,108.67422755533526
slo,2,50k,-325.868526012295
slo,3,50k,-120.56773127037316
slo,4,50k,-65.42143652066304
slo,5,50k,-134.12355005226487
slo,6,50k,-32.451292742020605
slo,7,50k,-135.2297173715073
slo,8,50k,249.69335132764257
mdn,1,20k,387.75094010390427
mdn,2,20k,148.28958644458385
mdn,3,20k,2.263477898238624
mdn,4,20k,380.73282371697485
mdn,5,20k,120.5109346962648
mdn,6,20k,167.09341537463573
mdn,7,20k,-123.47364544822578
mdn,8,20k,113.27482375664238
mks,1,20k,-35.92782512132459
mks,2,20k,-235.93547322196582
mks,3,20k,28.334090220241656
mks,4,20k,-47.93294116977439
mks,5,20k,-120.73408677299318
mks,6,20k,201.03136889847988
mks,7,20k,-0.0009604636394030501
mks,8,20k,-46.75228145917923
bdg,1,20k,-62.17041878364841
bdg,2,20k,-153.50597180439667
bdg,3,20k,-334.47510388268915
bdg,4,20k,327.8970602593699
bdg,5,20k,289.97245535932797
bdg,6,20k,-189.97461431192283
bdg,7,20k,-55.37233767206604
bdg,8,20k,-248.8157693735565
jkt,1,20k,30.270064416670134
jkt,2,20k,193.2958160344646
jkt,3,20k,-146.9080040888208
jkt,4,20k,51.81351533066366
jkt,5,20k,-82.9222251808623
jkt,6,20k,-215.3158341108438
jkt,7,20k,93.12232898970099
jkt,8,20k,99.55487752400049
jap,1,20k,126.69745332659335
jap,2,20k,322.5883591919561
jap,3,20k,-257.5656872219945
jap,4,20k,26.760621653487988
jap,5,20k,-6.726863793465138
jap,6,20k,-28.277359815502802
jap,7,20k,-16.24856314010255
jap,8,20k,-227.61651197829988
bpp,1,20k,169.374653123625
bpp,2,20k,23.14037704970854
bpp,3,20k,-46.83933382555721
bpp,4,20k,-37.46505041222081
bpp,5,20k,135.33963844381765
bpp,6,20k,301.8265336633831
bpp,7,20k,-184.57704174978198
bpp,8,20k,207.66856072760658
smr,1,20k,26.727793942757085
smr,2,20k,-52.18981899806259
smr,3,20k,4.770535775354115
smr,4,20k,376.0861102404112
smr,5,20k,-212.40462831309034
smr,6,20k,222.61561713614714
smr,7,20k,-0.4671972363580803
smr,8,20k,67.01820096836224
slo,1,20k,-226.35969784106675
slo,2,20k,190.14548953490407
slo,3,20k,55.90382791650392
slo,4,20k,-23.184873776992877
slo,5,20k,607.4733276358634
slo,6,20k,-141.876552768677
slo,7,20k,-17.782679087142327
slo,8,20k,-30.47202478311123
mdn,1,10k,-159.06403339897827
mdn,2,10k,-149.8873909449859
mdn,3,10k,71.88443400943524
mdn,4,10k,119.66375944950342
mdn,5,10k,-66.96743583815808
mdn,6,10k,128.85653296609644
mdn,7,10k,-19.339344013888923
mdn,8,10k,30.235875367645047
mks,1,10k,90.39899378219388
mks,2,10k,-68.76301775545956
mks,3,10k,23.096220880535395
mks,4,10k,-91.88775339255191
mks,5,10k,-133.61381718312097
mks,6,10k,-29.251816691329527
mks,7,10k,63.45227373613158
mks,8,10k,-167.06509288091198
bdg,1,10k,-119.77727813354424
bdg,2,10k,422.336503796254
bdg,3,10k,284.2979347598547
bdg,4,10k,-137.38371205405295
bdg,5,10k,-49.75835400353879
bdg,6,10k,179.0384385238373
bdg,7,10k,-261.89695928143
bdg,8,10k,65.0986112407755
jkt,1,10k,-168.58868704851093
jkt,2,10k,26.043184629686397
jkt,3,10k,134.0949464965178
jkt,4,10k,238.17147892450615
jkt,5,10k,53.40488106932058
jkt,6,10k,-62.147714047309165
jkt,7,10k,92.54014155274116
jkt,8,10k,-208.98264913621165
jap,1,10k,-153.29330998259744
jap,2,10k,-173.4243188322096
jap,3,10k,-13.532355840745955
jap,4,10k,-158.33310126969957
jap,5,10k,1.5005125186372459
jap,6,10k,140.30076551767056
jap,7,10k,-132.0967300432126
jap,8,10k,26.684863566121887
bpp,1,10k,60.12600377077677
bpp,2,10k,-11.44141968393247
bpp,3,10k,-35.05616545164313
bpp,4,10k,214.7199997875271
bpp,5,10k,-433.8236982603748
bpp,6,10k,-115.97711057673817
bpp,7,10k,-247.99015154247616
bpp,8,10k,-9.627819394486167
smr,1,10k,-92.83315331522596
smr,2,10k,116.13599885166569
smr,3,10k,46.654514074825954
smr,4,10k,158.6077935623883
smr,5,10k,322.6099030845566
smr,6,10k,103.86140468025297
smr,7,10k,178.3224374071476
smr,8,10k,-196.47891827165392
slo,1,10k,-216.83847020069172
slo,2,10k,166.29495716727652
slo,3,10k,187.59119643492522
slo,4,10k,-21.776344113428948
slo,5,10k,540.6733909652534
slo,6,10k,14.550700164087123
slo,7,10k,43.901193916369394
slo,8,10k,306.20209162678606
