id,pecahan,value
1,50k,378.791605458837
2,50k,38.9622306791162
3,50k,186.387037904773
4,50k,7155.87035631558
5,50k,100.436732214252
6,50k,1642.66189296701
7,50k,123.543463266481
8,50k,105.950625021275
1,20k,1053.46917168517
2,20k,394.065283673575
3,20k,51.6127235530722
4,20k,2553.36193994119
5,20k,407.318048020475
6,20k,169.718729060133
7,20k,48.501792851007
8,20k,338.911360775644
1,10k,1085.33922285599
2,10k,113.372485647309
3,10k,330.800238542155
4,10k,1644.36770374323
5,10k,366.645219765273
6,10k,370.819377972859
7,10k,345.554743882513
8,10k,1.84266534274372
