Khazanah,Kepadatan Rata-Rata
Jakarta,100.50
Provinsi Aceh,106.27
Provinsi Sumatera Utara,78.40
Sibolga,53.47
Lhokseumawe,45.38
Pematangsiantar,88.07
Provinsi Bengkulu,76.72
Provinsi Sumatera Selatan,103.09
Provinsi Bangka Belitung,19.57
Provinsi Lampung,66.96
Provinsi Jambi,44.04
Provinsi Sumatera Barat,67.90
Provinsi Riau,114.33
Provinsi Kepulauan Riau,145.30
Provinsi Banten,101.87
Cirebon,63.64
Tasikmalaya,125.56
Provinsi Jawa Barat,52.44
Provinsi DIY,56.30
Provinsi Jawa Tengah,55.74
Solo,58
Purwokerto,136
Tegal,79
Jember,101
Kediri,163
Malang,109
Provinsi Jawa Timur,140
Provinsi Kalimantan Selatan,120
Provinsi Kalimantan Barat,64
Provinsi Kalimantan Timur,31
Balikpapan,83
Provinsi Kalimantan Tengah,112
Provinsi Kalimantan Utara,228
Provinsi Sulawesi Tengah,158
Provinsi Sulawesi Selatan,67
Provinsi Sulawesi Utara,94
Provinsi Sulawesi Tenggara,133
Provinsi Maluku,84
Provinsi Papua ,42
Provinsi Maluku Utara,42
Provinsi Papua Barat,148
Provinsi Nusa Tenggara Barat,122
Provinsi Bali,53
Provinsi Nusa Tenggara Timur,63
Provinsi Sulawesi Barat,201
Provinsi Gorontalo,73
